Datum,CDU,SPD,Gruene,FDP,Linke,AfD,Sonstige,Nichtwaehler,Befragte,Zeitraum
11.12.13,0.43,0.24,0.09,0.03,0.1,0.05,0.06,_,2.504,02.12._06.12.
04.12.13,0.42,0.23,0.1,0.03,0.1,0.05,0.07,_,2.507,25.11._29.11.
27.11.13,0.42,0.23,0.09,0.03,0.1,0.05,0.05,_,2.5,18.11._22.11.
20.11.13,0.41,0.24,0.1,0.04,0.1,0.05,0.06,_,2.501,11.11._15.11.
13.11.13,0.41,0.24,0.09,0.04,0.1,0.05,0.07,_,2.501,04.11._08.11.
06.11.13,0.42,0.25,0.09,0.03,0.09,0.05,0.07,_,2.5,28.10._01.11.
30.10.13,0.42,0.24,0.09,0.04,0.09,0.05,0.07,_,2.501,21.10._25.10.
23.10.13,0.43,0.25,0.08,0.04,0.09,0.05,0.06,_,2.5,14.10._18.10.
16.10.13,0.44,0.24,0.08,0.04,0.08,0.06,0.06,25%,2.501,07.10._11.10.
09.10.13,0.45,0.24,0.08,0.03,0.08,0.06,0.06,27%,2.0,30.09._04.10.
01.10.13,0.42,0.25,0.08,0.04,0.09,0.05,0.07,28%,2.499,23.09._27.09.
